state,Population,estimatedBirthSinceNov2015,reportedMCSinceNov2015,estimatedBirth_Reported,openInvestigations,reported_open,Confirmed,reported_confirmed,Discarded,reported_discarded,confirmedZikaAdjusted,confirmed_zika
Totals,56560081,347108,5520,341588,2721,2799,1077,4443,1722,3798,177,900
Alagoas,3340932,20503,275,20228,84,191,55,220,136,139,9,46
Bahia,15203934,93306,1040,92266,647,393,219,821,174,866,36,183
Ceará,8904459,54647,452,54195,254,198,81,371,117,335,13,68
Maranhão,6904241,42371,240,42131,108,132,90,150,42,198,15,75
Paraíba,3972202,24377,862,23515,389,473,109,753,364,498,18,91
Pernambuco,9345173,57351,1871,55480,760,1111,333,1538,778,1093,55,278
Piauí,3204028,19663,154,19509,21,133,73,81,60,94,12,61
Rio Grande do Norte,3442175,21125,417,20708,297,120,86,331,34,383,14,72
Sergipe,2242937,13765,209,13556,161,48,31,178,17,192,5,26
