state,Population,birthsPerYear,birthsPerDay,estimatedBirthSinceNov2015,reportedMCSinceNov2015,percentOfBirths,openInvestigations,PercentOpen,Confirmed,PercentConfirmed,Discarded,PercentDiscarded,confirmedZikaAdjusted,percent
Alagoas,3340932,46773,128,20503,275,1.34,84,30.55,55,20.00,136,49.45,,
Bahia,15203934,212855,583,93306,1040,1.11,647,62.21,219,21.06,174,16.73,,
Ceará,8904459,124662,342,54647,452,0.83,254,56.19,81,17.92,117,25.88,,
Maranhão,6904241,96659,265,42371,240,0.57,108,45.00,90,37.50,42,17.50,,
Paraíba,3972202,55611,152,24377,862,3.54,389,45.13,109,12.65,364,42.23,,
Pernambuco,9345173,130832,358,57351,1871,3.26,760,40.62,333,17.80,778,41.58,,
Piauí,3204028,44856,123,19663,154,0.78,21,13.64,73,47.40,60,38.96,,
Rio Grande do Norte ,3442175,48190,132,21125,417,1.97,297,71.22,86,20.62,34,8.15,,
Sergipe,2242937,31401,86,13765,209,1.52,161,77.03,31,14.83,17,8.13,,
Totals,56560081,791841,2169,347108,5520,2,2721,49.29,1077,19.51,1722,31.20,177,16.43
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
